Nombre,Teléfono,Email,ID,Codigo_Postal,Provincia,Estado
5 Chupetes,658938163,recepcionciudadjardin@5chupetes.com,29017301,29004,Málaga,Andalucía
Carmen Urbano Villegas,658615432,victoria_perdigon@hotmail.com,18013812,18130,Granada,Andalucía
Montessori Community Granada,722663242,info@montessoricg.com,18015456,18630,Granada,Andalucía
El Centro Inglés,956 850 560,pdirector@elcentroingles.es,11007341,11500,Cádiz,Andalucía
Santa María De Gracia,959253643,orientacion@agustinashuelva.com,41016541,41540,Sevilla,Andalucía
Santa María De Gracia,959253643,orientacion@agustinashuelva.com,21003906,21003,Huelva,Andalucía
Santa María De Gracia,959253643,orientacion@agustinashuelva.com,30005582,30009,Murcia,Murcia
Patatina Baby School,629555016,patatinababyschool@yahoo.com,29019401,29660,Málaga,Andalucía
Marqués De Iznate,697951935,29003166.edu@juntadeandalucia.es,29003166,29719,Málaga,Andalucía
Novaschool Benalmádena,610138618,lwhiddon@novaschool.es,29017669,29639,Málaga,Andalucía
La Pequeña Esponja,678236659,beatriz86@hotmail.es,4010590,04745,Almería,Andalucía
Virgen Del Romeral,974428084,virgenromeral@colegiosaragon.org,22001085,22500,Huesca,Aragón
Santa Ana,605095805,inmagovis@gmail.com,41021330,41530,Sevilla,Andalucía
Santa Ana,605095805,inmagovis@gmail.com,41001665,41700,Sevilla,Andalucía
Santa Ana,605095805,inmagovis@gmail.com,31014694,31200,Navarra,Navarra
Santa Ana,605095805,inmagovis@gmail.com,46031593,46190,Valencia,Comunidad Valenciana
Santa Ana,605095805,inmagovis@gmail.com,6011317,06900,Badajoz,Extremadura
Santa Ana,605095805,inmagovis@gmail.com,14601168,14700,Córdoba,Andalucía
Santa Ana,605095805,inmagovis@gmail.com,31014190,31500,Navarra,Navarra
Santa Ana,605095805,inmagovis@gmail.com,29000347,29130,Málaga,Andalucía
Santa Ana,605095805,inmagovis@gmail.com,41003418,41540,Sevilla,Andalucía
Santa Ana,605095805,inmagovis@gmail.com,41005580,41011,Sevilla,Andalucía
Santa Ana,605095805,inmagovis@gmail.com,22001899,22520,Huesca,Aragón
Santa Ana,605095805,inmagovis@gmail.com,22002417,22003,Huesca,Aragón
Santa Ana,605095805,inmagovis@gmail.com,22003252,22400,Huesca,Aragón
Santa Ana,605095805,inmagovis@gmail.com,22003860,22600,Huesca,Aragón
Santa Ana,605095805,inmagovis@gmail.com,50000862,50540,Zaragoza,Aragón
Santa Ana,605095805,inmagovis@gmail.com,50001362,50700,Zaragoza,Aragón
Santa Ana,605095805,inmagovis@gmail.com,50010247,50368,Zaragoza,Aragón
Santa Ana,605095805,inmagovis@gmail.com,50007731,50007,Zaragoza,Aragón
Santa Ana,605095805,inmagovis@gmail.com,5005449,05002,Ávila,Castilla La Mancha
Santa Ana,605095805,inmagovis@gmail.com,45005185,45710,Toledo,Castilla y León
Santa Ana,605095805,inmagovis@gmail.com,45004144,45519,Toledo,Castilla y León
Santa Ana,605095805,inmagovis@gmail.com,45004375,45410,Toledo,Castilla y León
Santa Ana,605095805,inmagovis@gmail.com,6002365,06660,Badajoz,Extremadura
Santa Ana,605095805,inmagovis@gmail.com,10006247,10470,Cáceres,Extremadura
Santa Ana,605095805,inmagovis@gmail.com,28064081,28723,Madrid,Madrid
Santa Ana,605095805,inmagovis@gmail.com,3000503,03802,Alicante,Comunidad Valenciana
Santa Ana,605095805,inmagovis@gmail.com,46006811,46670,Valencia,Comunidad Valenciana
Santa Ana,605095805,inmagovis@gmail.com,46004796,46160,Valencia,Comunidad Valenciana
Santa Ana,605095805,inmagovis@gmail.com,46003305,46510,Valencia,Comunidad Valenciana
Santa Ana,605095805,inmagovis@gmail.com,11003825,11300,Cádiz,Andalucía
Santa Ana,605095805,inmagovis@gmail.com,23002711,23700,Jaén,Andalucía
Santa Ana,605095805,inmagovis@gmail.com,50001121,50300,Zaragoza,Aragón
Santa Ana,605095805,inmagovis@gmail.com,24018477,24388,León,Castilla La Mancha
Santa Ana,605095805,inmagovis@gmail.com,16000863,16003,Cuenca,Castilla y León
Santa Ana,605095805,inmagovis@gmail.com,19000977,19003,Guadalajara,Castilla y León
Santa Ana,605095805,inmagovis@gmail.com,30003196,30520,Murcia,Murcia
Santa Ana,605095805,inmagovis@gmail.com,31001353,31540,Navarra,Navarra
Santa Ana,605095805,inmagovis@gmail.com,31002229,31200,Navarra,Navarra
Santa Ana,605095805,inmagovis@gmail.com,31003477,31382,Navarra,Navarra
Santa Ana,605095805,inmagovis@gmail.com,12003213,12125,Castellón,Comunidad Valenciana
Santa Ana,605095805,inmagovis@gmail.com,46001114,46680,Valencia,Comunidad Valenciana
Santa Ana,605095805,inmagovis@gmail.com,46008911,46300,Valencia,Comunidad Valenciana
Santa Ana,605095805,inmagovis@gmail.com,46011508,46021,Valencia,Comunidad Valenciana
Santa Ana,605095805,inmagovis@gmail.com,46013979,46720,Valencia,Comunidad Valenciana
Nuestra Señora De Los Desamparados,657112822,Gemagutierrez@colegionsdesamparados.es,46024540,46980,Valencia,Comunidad Valenciana
Nuestra Señora De Los Desamparados,657112822,Gemagutierrez@colegionsdesamparados.es,46002635,46740,Valencia,Comunidad Valenciana
Nuestra Señora De Los Desamparados,657112822,Gemagutierrez@colegionsdesamparados.es,3006128,03440,Alicante,Comunidad Valenciana
Nuestra Señora De Los Desamparados,657112822,Gemagutierrez@colegionsdesamparados.es,45001891,45350,Toledo,Castilla y León
Nuestra Señora De Los Desamparados,657112822,Gemagutierrez@colegionsdesamparados.es,46014844,46100,Valencia,Comunidad Valenciana
